"","pt","nEvents","start","end","rbm","rst","rowID","pt.samp","rbm.samp","rst.samp","pts","rbms","rsts","pt.samp.s","rbm.samp.s","rst.samp.s","ite_pt_rst","ite_rbm_rst","ite_pt_rbm","males_PT","males_RST","males_RBM","size_PT","size_RBM","size_RST","Date","NDVI.Int","ndvi","ndvi.s","yday","yday.s","ite_pt_rst.s","ite_rbm_rst.s","ite_pt_rbm.s","males_PT.s","males_RST.s","males_RBM.s","size_PT.s","size_RST.s","size_RBM.s"
"1",0.117234341800213,333,2015-01-02,2015-03-03,0.272969484329224,0.289061516523361,1,639,730,763,-2.18975559257316,-1.17894230585141,-0.560227254486955,-0.00351836053553486,0.701329553832717,0.520483511166172,15,29,47,4,14,12,10,13,16,2015-02-01,NA,NA,NA,32,-1.44775307193307,-0.456772015773842,2.15097454563396,-0.728628015553135,-1.0308609933142,-0.38733272293021,-0.0622148211236766,-0.557971529515743,-0.33712480853738,-0.313046624210115
"2",0.251181483268738,276,2015-02-01,2015-04-02,0.25774621963501,0.305631995201111,2,603,659,729,-0.52452659397563,-1.37870864251852,-0.359933645418134,-0.338797423333598,0.0688858833569817,0.275982506534841,17,19,68,4,15,11,11,13,16,2015-03-03,0.479937875,0.479937875,0.141275382584308,62,-1.15534334016921,-0.355267123379655,0.893911499484245,0.199341626896613,-1.0308609933142,-0.145249771098829,-0.217751873932868,-0.296422375055239,-0.33712480853738,-0.313046624210115
"3",0.145922228693962,334,2015-03-03,2015-05-02,0.26237690448761,0.33196610212326,3,650,732,743,-1.8331081819587,-1.31794277081851,-0.0416233889905934,0.0989280197638735,0.719144868494006,0.376659390794801,25,25,63,5,16,11,11,13,16,2015-04-02,0.672390563,0.672390563,2.31502184295723,92,-0.86293360840535,0.0507524461970936,1.64814932717408,-0.0216035260676131,-0.881701042513109,0.0968331807325525,-0.217751873932868,-0.296422375055239,-0.33712480853738,-0.313046624210115
"4",0.153163567185402,394,2015-04-02,2015-06-01,0.167360752820969,0.361202418804169,4,754,840,831,-1.74308396261066,-2.56478626489935,0.311766968510735,1.06751197895828,1.68117186020358,1.00948552042883,19,22,53,5,16,10,9,13,16,2015-05-02,NA,0.6266959065,1.79890227685986,122,-0.570523876641489,-0.253762230985468,1.27103041332916,-0.463493831996064,-0.881701042513109,0.0968331807325525,-0.373288926742059,-0.819520683976248,-0.33712480853738,-0.313046624210115
"5",0.169473081827164,332,2015-05-02,2015-07-01,0.353989452123642,0.391971349716187,5,618,635,658,-1.5403243035634,-0.115762857271668,0.683682610744565,-0.199097813834405,-0.144897892578478,-0.234593120783525,10,9,55,4,14,10,9,13,18,2015-06-01,0.58100125,0.58100125,1.2827827107625,152,-0.278114144877628,-0.71053424675931,-0.363151546665475,-0.375115770810374,-1.0308609933142,-0.38733272293021,-0.373288926742059,-0.819520683976248,0.144482060801735,-0.313046624210115
"6",0.34758996963501,301,2015-06-01,2015-07-31,0.510898768901825,0.446539431810379,6,597,591,607,0.674022366815256,1.94326981616203,1.34326754580655,-0.394677267133276,-0.536834815126822,-0.601344627730521,16,9,68,4,13,9,9,14,20,2015-07-01,0.516167875,0.516167875,0.550491980584284,182,0.0142955868862332,-0.406019569576749,-0.363151546665475,0.199341626896613,-1.0308609933142,-0.629415674761591,-0.528825979551251,-0.819520683976248,0.626088930140849,-0.105883417012245
"7",0.393913418054581,448,2015-07-01,2015-08-30,0.453676611185074,0.442443460226059,7,737,769,769,1.24991483288503,1.19237563854141,1.2937579964917,0.909185754859194,1.04872818972784,0.563630747277583,24,10,76,3,13,9,9,14,20,2015-07-31,NA,0.538223187666667,0.799605974988896,212,0.306705318650094,0,-0.237445242050503,0.552853871639374,-1.18002094411529,-0.629415674761591,-0.528825979551251,-0.819520683976248,0.626088930140849,-0.105883417012245
"8",0.347068816423416,470,2015-07-31,2015-09-29,0.361210554838181,0.356312155723572,8,693,708,753,0.667543397341601,-0.0210043895608259,0.252656519093,0.499400233661561,0.505361092558546,0.448571450980486,22,8,48,4,13,9,8,14,18,2015-08-30,NA,0.560278500333333,1.04871996939351,242,0.599115050413956,-0.101504892394187,-0.488857851280446,-0.68443898496029,-1.0308609933142,-0.629415674761591,-0.528825979551251,-1.08106983843675,0.144482060801735,-0.105883417012245
"9",0.291014850139618,367,2015-08-30,2015-10-29,0.361769020557404,0.291944533586502,9,684,674,735,-0.0293187313968658,-0.0136759581681992,-0.525379142744784,0.415580467962045,0.202500743316644,0.319129742646253,23,10,62,4,13,9,8,15,17,2015-09-29,0.582333813,0.582333813,1.29783396379812,272,0.891524782177817,-0.0507524461970936,-0.237445242050503,-0.0657925566604582,-1.0308609933142,-0.629415674761591,-0.528825979551251,-1.08106983843675,-0.0963213738678226,0.101279790185625
"10",0.287928760051727,295,2015-09-29,2015-11-28,0.260241657495499,0.212664276361465,10,663,727,756,-0.0676849604204799,-1.3459624156228,-1.48366943455327,0.220001014663174,0.674606581840785,0.470145069036192,21,15,75,3,13,11,8,14,16,2015-10-29,NA,0.5457138285,0.884212504347338,302,1.18393451394168,-0.152257338591281,0.391086281024357,0.508664841046529,-1.18002094411529,-0.629415674761591,-0.217751873932868,-1.08106983843675,-0.33712480853738,-0.105883417012245
"11",0.216577142477036,249,2015-10-29,2015-12-28,0.295020341873169,0.214487075805664,11,566,616,687,-0.954727277110287,-0.889581310006911,-1.46163657199165,-0.683389793431608,-0.314143381860717,-0.0260481462450375,17,17,51,4,14,11,8,13,16,2015-11-28,NA,0.509093844,0.470591044896556,332,1.47634424570554,-0.355267123379655,0.642498890254301,-0.551871893181755,-1.0308609933142,-0.38733272293021,-0.217751873932868,-1.08106983843675,-0.33712480853738,-0.313046624210115
"12",0.214206099510193,247,2015-11-28,2016-01-27,0.324810534715652,0.236645087599754,12,510,526,644,-0.984204050276326,-0.498661371853864,-1.19380434829209,-1.2049350022286,-1.11583254161869,-0.335270005043485,27,19,50,4,15,9,9,14,17,2015-12-28,NA,0.4724738595,0.0569695854457733,362,1.7687539774694,0.152257338591281,0.893911499484245,-0.5960609237746,-1.0308609933142,-0.145249771098829,-0.528825979551251,-0.819520683976248,-0.0963213738678226,-0.105883417012245
"13",0.283705830574036,295,2015-12-28,2016-02-26,0.327200025320053,0.267857879400253,13,648,648,720,-0.120184360916734,-0.467305431184777,-0.816523592532735,0.080301405163981,-0.0290983472801041,0.211261652367724,46,22,64,4,15,9,10,14,18,2016-01-27,0.435853875,0.435853875,-0.356651874005009,27,-1.49648802722705,1.11655381633606,1.27103041332916,0.022585504525232,-1.0308609933142,-0.145249771098829,-0.528825979551251,-0.557971529515743,0.144482060801735,-0.105883417012245
"14",0.317779213190079,257,2016-01-27,2016-03-27,0.335691630840302,0.265167355537415,14,552,605,690,0.30341545756746,-0.355874870048508,-0.84904496655299,-0.813776095630855,-0.412127612497803,-0.00447452818933183,42,21,71,4,14,9,9,12,17,2016-02-26,NA,0.45390621875,-0.152751275183559,57,-1.20407829546319,0.913544031547684,1.14532410871419,0.331908718675148,-1.0308609933142,-0.38733272293021,-0.528825979551251,-0.819520683976248,-0.0963213738678226,-0.520209831407985
"15",0.230103805661201,306,2016-02-26,2016-04-26,0.374579250812531,0.322930932044983,15,549,597,714,-0.786563988654985,0.154425485335012,-0.15083488847243,-0.841716017530694,-0.483388871142956,0.168114416256313,51,21,87,6,14,7,9,12,17,2016-03-27,NA,0.4719585625,0.0511493236378908,87,-0.911668563699327,1.37031604732153,1.14532410871419,1.03893320816067,-0.73254109171202,-0.38733272293021,-0.839900085169633,-0.819520683976248,-0.0963213738678226,-0.520209831407985
"16",0.259744495153427,353,2016-03-27,2016-05-26,0.386423110961914,0.375970214605331,16,655,713,876,-0.418071349396405,0.309845797703301,0.490270871537871,0.145494556263605,0.549899379211767,1.33308979126442,108,32,107,9,16,7,9,11,17,2016-04-26,NA,0.49001090625,0.25504992245934,117,-0.619258831935466,4.26320548055586,2.52809345947888,1.92271382001757,-0.28506123930875,0.0968331807325525,-0.839900085169633,-0.819520683976248,-0.0963213738678226,-0.727373038605855
"17",0.310172975063324,206,2016-04-26,2016-06-25,0.388114929199219,0.345688313245773,17,515,564,695,0.20885481103148,0.332046576469331,0.124242138709761,-1.15836846572887,-0.777341563054214,0.0314815019035109,87,22,67,10,15,5,9,11,16,2016-05-26,0.50806325,0.50806325,0.45895052128079,147,-0.326849100171605,3.19740411041689,1.27103041332916,0.155152596303767,-0.13590128850766,-0.145249771098829,-1.15097419078802,-0.819520683976248,-0.33712480853738,-0.727373038605855
"18",0.36698853969574,154,2016-05-26,2016-07-25,0.470046013593674,0.367311716079712,18,522,514,559,0.915185119840814,1.40718209551897,0.385612342804958,-1.09317531462924,-1.22272442958642,-0.946522516621811,44,9,39,8,13,4,10,11,16,2016-06-25,NA,0.4666395,-0.00892930348877932,177,-0.0344393684077436,1.01504892394187,-0.363151546665475,-1.0821402602959,-0.43422119010984,-0.629415674761591,-1.30651124359721,-0.557971529515743,-0.33712480853738,-0.727373038605855
"19",0.299782991409302,240,2016-06-25,2016-08-24,0.422763615846634,0.499744266271591,19,699,615,661,0.0796866788418306,0.786721795018962,1.98637439391799,0.555280077461238,-0.323051039191362,-0.21301950272782,43,15,75,8,14,6,10,10,16,2016-07-25,NA,0.42521575,-0.476809128258349,207,0.257970363356118,0.964296477744778,0.391086281024357,0.508664841046529,-0.43422119010984,-0.38733272293021,-0.995437137978824,-0.557971529515743,-0.33712480853738,-0.934536245803726
"20",0.25291496515274,274,2016-07-25,2016-09-23,0.460671186447144,0.347326964139938,20,745,732,826,-0.502975971318535,1.28416151395729,0.144049128476259,0.983692213258764,0.719144868494006,0.97352949033599,36,14,94,7,13,8,11,13,17,2016-08-24,0.383792,0.383792,-0.944688953027918,237,0.550380095119979,0.609029354365123,0.265379976409385,1.34825642231059,-0.58338114091093,-0.629415674761591,-0.684363032360442,-0.296422375055239,-0.0963213738678226,-0.313046624210115
"21",0.229321718215942,220,2016-08-24,2016-10-23,0.459347814321518,0.313411086797714,21,735,782,865,-0.796286888890154,1.26679564619542,-0.265904839041357,0.890559140259301,1.16452773502621,1.25398652506016,28,5,69,9,12,6,11,13,14,2016-09-23,0.34090175,0.34090175,-1.42913284461965,267,0.84278982688384,0.203009784788374,-0.865976765125362,0.243530657489458,-0.28506123930875,-0.871498626592972,-0.995437137978824,-0.296422375055239,-0.818731677876495,-0.313046624210115
"22",0.378796756267548,189,2016-09-23,2016-11-22,0.495864033699036,0.180162981152534,22,768,783,838,1.06198470392686,1.74597744592802,-1.87652481570464,1.19789828115753,1.17343539235686,1.05982396255881,25,3,47,10,13,4,10,11,12,2016-10-23,NA,0.3242221875,-1.61752792666155,297,1.1351995586477,0.0507524461970936,-1.11738937435531,-0.728628015553135,-0.13590128850766,-0.629415674761591,-1.30651124359721,-0.557971529515743,-1.30033854721561,-0.727373038605855
"23",0.409721344709396,295,2016-10-23,2016-12-22,0.467484295368195,0.213182762265205,23,823,824,886,1.44643875705916,1.37356610868851,-1.47740230039674,1.71013018265457,1.53864934291327,1.4050018514501,22,3,52,9,13,5,10,9,12,2016-11-22,0.307542625,0.307542625,-1.80592300870345,327,1.42760929041156,-0.101504892394187,-1.11738937435531,-0.50768286258891,-0.28506123930875,-0.629415674761591,-1.15097419078802,-0.557971529515743,-1.30033854721561,-1.1416994530016
"24",0.296140253543854,368,2016-11-22,2017-01-21,0.400227785110474,0.268022954463959,24,762,743,827,0.0344002123944771,0.490996768860559,-0.8145282681417,1.14201843735785,0.817129099131091,0.980720696354559,14,7,86,8,11,5,10,7,12,2016-12-22,NA,0.336647416666667,-1.47718539260266,357,1.72001902217542,-0.507524461970936,-0.614564155895418,0.994744177567825,-0.43422119010984,-1.11358157842435,-1.15097419078802,-0.557971529515743,-1.30033854721561,-1.55602586739734
"25",0.207062616944313,237,2016-12-22,2017-02-20,0.355841219425201,0.335762292146683,25,666,674,770,-1.07301172611967,-0.0914631569364915,0.00426258782933227,0.247940936563013,0.202500743316644,0.570821953296152,18,11,105,8,11,5,9,7,12,2017-01-21,NA,0.365752208333333,-1.14844777650188,21,-1.55496997357982,-0.304514677182561,-0.111738937435531,1.83433575883188,-0.43422119010984,-1.11358157842435,-1.15097419078802,-0.819520683976248,-1.30033854721561,-1.55602586739734
"26",0.269142627716064,171,2017-01-21,2017-03-22,0.329173564910889,0.430058836936951,26,695,732,827,-0.301233896171284,-0.44140778161697,1.14406039609201,0.518026848261453,0.719144868494006,0.980720696354559,18,15,98,8,11,5,9,7,11,2017-02-20,0.394857,0.394857,-0.819710160401097,51,-1.26256024181596,-0.304514677182561,0.391086281024357,1.52501254468197,-0.43422119010984,-1.11358157842435,-1.15097419078802,-0.819520683976248,-1.54114198188517,-1.55602586739734
"27",0.247746407985687,208,2017-02-20,2017-04-21,0.348778188228607,0.379789620637894,27,774,768,874,-0.567231402088654,-0.18414734106195,0.536437468993402,1.2537781249572,1.0398205323972,1.31870737922728,13,19,93,8,10,6,9,7,8,2017-03-22,0.436613,0.436613,-0.34807758336309,81,-0.9701505100521,-0.558276908168029,0.893911499484245,1.30406739171774,-0.43422119010984,-1.35566453025573,-0.995437137978824,-0.819520683976248,-2.26355228589384,-1.55602586739734
"28",0.262516885995865,209,2017-03-22,2017-05-21,0.385981798171997,0.461381644010544,28,737,723,798,-0.383605025026516,0.304054698281666,1.52267094784153,0.909185754859194,0.638975952518208,0.772175721816071,20,21,94,8,10,10,9,7,8,2017-04-21,0.422421375,0.422421375,-0.508371497318139,111,-0.677740778288238,-0.203009784788374,1.14532410871419,1.34825642231059,-0.43422119010984,-1.35566453025573,-0.373288926742059,-0.819520683976248,-2.26355228589384,-1.55602586739734
"29",0.415386438369751,145,2017-04-21,2017-06-20,0.463908076286316,0.482160478830338,29,566,506,548,1.51686712260372,1.32663739796476,1.77383254064993,-0.683389793431608,-1.29398568823158,-1.02562578282607,18,16,68,9,11,10,9,7,8,2017-05-21,NA,0.398370583333333,-0.780024358069988,141,-0.385331046524377,-0.304514677182561,0.516792585639329,0.199341626896613,-0.28506123930875,-1.11358157842435,-0.373288926742059,-0.819520683976248,-2.26355228589384,-1.55602586739734
"30",0.445194005966187,231,2017-05-21,2017-07-20,0.50306361913681,0.454885214567184,30,514,495,494,1.8874343881314,1.84045355452335,1.44414616140801,-1.16768177302881,-1.39196991886866,-1.41395090782877,26,8,56,23,19,24,17,22,22,2017-06-20,NA,0.374319791666667,-1.05167721882184,171,-0.0929213147605159,0.101504892394187,-0.488857851280446,-0.330926740217529,1.80317807190651,0.823082036226696,1.80422981258662,1.27287255170779,1.10769579947996,1.55142224057072
"31",0.44844001531601,409,2017-06-20,2017-08-19,0.449293881654739,0.416800022125244,31,701,661,689,1.92778873119376,1.13486354501456,0.983796113915433,0.57390669206113,0.08670119801827,-0.0116657342079004,33,8,79,21,19,23,17,22,22,2017-07-20,0.350269,0.350269,-1.32333007957369,201,0.199488417003345,0.456772015773842,-0.488857851280446,0.685420963417909,1.50485817030433,0.823082036226696,1.64869275977743,1.27287255170779,1.10769579947996,1.55142224057072
"32",0.346291184425354,579,2017-07-20,2017-09-18,0.376169949769974,0.232383474707603,32,827,678,821,0.657875887163978,0.175299332689805,-1.24531606640372,1.74738341185435,0.238131372639221,0.937573460243147,20,7,90,20,18,23,17,22,22,2017-08-19,NA,0.3524805,-1.29835126349649,231,0.491898148767207,-0.203009784788374,-0.614564155895418,1.17150029993921,1.35569821950324,0.580999084395315,1.64869275977743,1.27287255170779,1.10769579947996,1.55142224057072
"33",0.313220858573914,641,2017-08-19,2017-10-18,0.328385263681412,0.219229251146317,33,824,761,809,0.246746056417808,-0.451752215085478,-1.40431611479256,1.71944348995451,0.977466931082686,0.851278988020325,15,6,106,20,19,23,17,22,22,2017-09-18,0.354692,0.354692,-1.27337244741929,261,0.784307880531068,-0.456772015773842,-0.74027046051039,1.87852478942473,1.35569821950324,0.823082036226696,1.64869275977743,1.27287255170779,1.10769579947996,1.55142224057072
"34",0.258131861686707,435,2017-09-18,2017-11-17,0.313626945018768,0.330564171075821,34,737,727,689,-0.438119586211694,-0.64541732659882,-0.0585690569231892,0.909185754859194,0.674606581840785,-0.0116657342079004,12,5,82,20,18,22,17,22,22,2017-10-18,0.435274625,0.435274625,-0.363194482737868,291,1.07671761229493,-0.609029354365123,-0.865976765125362,0.817988055196444,1.35569821950324,0.580999084395315,1.49315570696824,1.27287255170779,1.10769579947996,1.55142224057072
"35",0.244402527809143,391,2017-10-18,2017-12-17,0.313377410173416,0.361565560102463,35,725,758,738,-0.60880247390675,-0.648691831964659,0.316156393985505,0.797426067259839,0.950743959090754,0.340703360701958,17,4,56,20,29,21,17,23,22,2017-11-17,0.528511,0.528511,0.689907150917942,321,1.36912734405879,-0.355267123379655,-0.991683069740334,-0.330926740217529,1.35569821950324,3.24391155454051,1.33761865415905,1.27287255170779,1.10769579947996,1.75858544776859
"36",0.245831161737442,328,2017-11-17,2018-01-16,0.303427398204803,0.373257517814636,36,615,667,654,-0.591041716792402,-0.779260240298194,0.45748148499786,-0.227037735734244,0.140147142002135,-0.263357944857799,13,5,40,20,29,20,17,21,22,2017-12-17,NA,0.546294229333333,0.890768111702928,351,1.66153707582265,-0.558276908168029,-0.865976765125362,-1.03795122970305,1.35569821950324,3.24391155454051,1.18208160134985,1.27287255170779,1.10769579947996,1.34425903337285
"37",0.255474746227264,357,2017-12-17,2018-02-15,0.283775478601456,0.254729300737381,37,491,524,523,-0.471152808624466,-1.03714132339658,-0.975213661387627,-1.38188784092757,-1.13364785627998,-1.20540593329028,6,11,32,19,18,19,17,20,22,2018-01-16,NA,0.564077458666667,1.09162907248792,16,-1.6037049288738,-0.913544031547684,-0.111738937435531,-1.39146347444581,1.20653826870215,0.580999084395315,1.02654454854066,1.27287255170779,1.10769579947996,1.13709582617498
"38",0.265306115150452,448,2018-01-16,2018-03-17,0.280748963356018,0.234817072749138,38,586,708,716,-0.348929366994329,-1.07685657998527,-1.21590025143296,-0.497123647432684,0.505361092558546,0.18249682829345,10,13,39,19,18,18,17,20,21,2018-02-15,0.581860688,0.581860688,1.2924900332729,46,-1.31129519710994,-0.71053424675931,0.139673671794413,-1.0821402602959,1.20653826870215,0.580999084395315,0.871007495731471,1.27287255170779,0.866892364810407,1.13709582617498
"39",0.302644014358521,300,2018-02-15,2018-04-16,0.306259036064148,0.250234752893448,39,614,720,660,0.11525487632973,-0.742102249992466,-1.02954095188423,-0.23635104303419,0.612252980526276,-0.220210708746388,12,7,40,19,18,17,18,19,21,2018-03-17,NA,0.556787844166667,1.00929312861761,76,-1.01888546534608,-0.609029354365123,-0.614564155895418,-1.03795122970305,1.20653826870215,0.580999084395315,0.71547044292228,1.53442170616829,0.866892364810407,0.929932618977106
"40",0.35312083363533,228,2018-03-17,2018-05-16,0.310230851173401,0.288865923881531,40,549,594,605,0.742781991094337,-0.689982355197752,-0.562591456324535,-0.841716017530694,-0.510111843134889,-0.615727039767658,10,5,45,20,22,19,18,19,21,2018-04-16,NA,0.531715000333333,0.72609622396231,106,-0.726475733582215,-0.71053424675931,-0.865976765125362,-0.817006076738826,1.35569821950324,1.54933089172084,1.02654454854066,1.53442170616829,0.866892364810407,0.929932618977106
"41",0.282076865434647,163,2018-04-16,2018-06-15,0.324272692203522,0.347927302122116,41,423,421,455,-0.140435632859349,-0.505719176504205,0.151305639495034,-2.01519273732392,-2.05113656133633,-1.69440794255294,7,2,34,20,22,22,17,19,21,2018-05-16,NA,0.5066421565,0.442899319307015,136,-0.434066001818354,-0.862791585350591,-1.24309567897028,-1.30308541326012,1.35569821950324,1.54933089172084,1.49315570696824,1.27287255170779,0.866892364810407,0.929932618977106
"42",0.432557374238968,134,2018-05-16,2018-07-15,0.417125880718231,0.429104298353195,42,437,408,337,1.73033595836232,0.712740969202505,1.13252252916288,-1.88480643512467,-2.1669361066347,-2.54297025274403,6,0,23,19,17,20,17,17,21,2018-06-15,NA,0.481569312666667,0.15970241465172,166,-0.141656270054493,-0.913544031547684,-1.49450828820022,-1.78916474978142,1.20653826870215,0.338916132563934,1.18208160134985,1.27287255170779,0.866892364810407,0.515606204581366
"43",0.403199434280396,185,2018-06-15,2018-08-14,0.335265100002289,0.335748791694641,43,621,579,436,1.3653584573711,-0.361471994232898,0.00409940278706136,-0.171157891934567,-0.643726703094551,-1.83104085690574,10,1,32,16,17,18,17,17,21,2018-07-15,NA,0.456496468833333,-0.123494490003576,196,0.150753461709368,-0.71053424675931,-1.36880198358525,-1.39146347444581,0.75905841629888,0.338916132563934,0.871007495731471,1.27287255170779,0.866892364810407,0.515606204581366
"44",0.380706787109375,257,2018-07-15,2018-09-13,0.344582974910736,0.378319680690765,44,563,504,420,1.08573018077061,-0.239198764845358,0.518669751907468,-0.711329715331447,-1.31180100289286,-1.94610015320284,10,2,37,16,17,18,17,17,21,2018-08-14,0.431423625,0.431423625,-0.406691394658871,226,0.44316319347323,-0.71053424675931,-1.24309567897028,-1.17051832148159,0.75905841629888,0.338916132563934,0.871007495731471,1.27287255170779,0.866892364810407,0.515606204581366
"45",0.252893716096878,230,2018-08-14,2018-10-13,0.382731795310974,0.448201954364777,45,420,372,383,-0.503240139285294,0.261406739466963,1.36336308131005,-2.04313265922376,-2.48761177053789,-2.21217477588987,4,3,34,18,17,19,17,19,23,2018-09-13,NA,NA,NA,256,0.735572925237091,-1.01504892394187,-1.11738937435531,-1.30308541326012,1.05737831790106,0.338916132563934,1.02654454854066,1.27287255170779,1.34849923414952,0.929932618977106
